"Date","Price","Open","High","Low","Vol","Change"
"May 20, 2019","32,690.0","32,470.0","33,010.0","31,550.0","0.53K","0.68%"
"May 19, 2019","32,470.0","30,240.0","32,700.0","30,240.0","0.34K","7.37%"
"May 18, 2019","30,240.0","30,800.0","31,000.0","30,017.0","0.13K","-1.82%"
"May 17, 2019","30,800.0","32,300.0","32,400.0","27,508.0","0.98K","-4.64%"
"May 16, 2019","32,300.0","32,950.0","33,390.0","31,750.0","0.58K","-1.97%"
"May 15, 2019","32,950.0","32,290.0","33,295.0","31,907.0","0.61K","2.02%"
"May 14, 2019","32,298.0","31,799.9","33,298.0","30,200.0","0.99K","1.57%"
"May 13, 2019","31,799.9","26,310.1","33,300.0","26,180.9","1.23K","20.87%"
"May 12, 2019","26,310.1","29,098.9","29,098.9","25,100.0","0.44K","-9.34%"
"May 11, 2019","29,020.0","25,680.0","29,323.7","25,510.0","0.42K","13.01%"
"May 10, 2019","25,680.0","24,800.0","25,954.0","24,700.0","0.67K","3.55%"
"May 09, 2019","24,800.0","23,800.0","24,900.0","23,700.1","0.42K","4.20%"
"May 08, 2019","23,800.0","23,690.0","23,848.0","23,300.0","0.42K","0.42%"
"May 07, 2019","23,700.0","23,020.0","24,000.0","22,885.0","0.55K","2.95%"
"May 06, 2019","23,020.0","22,930.0","23,125.0","22,650.0","0.36K","0.39%"
"May 05, 2019","22,930.0","23,100.0","23,170.3","22,850.0","0.08K","-0.74%"
"May 04, 2019","23,100.0","22,898.6","23,190.0","22,401.0","0.18K","0.88%"
"May 03, 2019","22,898.6","21,900.0","23,150.0","21,670.0","0.78K","4.56%"
"May 02, 2019","21,900.0","21,169.0","21,998.0","21,100.1","0.47K","3.45%"
"May 01, 2019","21,169.0","21,090.0","21,398.0","21,090.0","0.11K","0.37%"
"Apr 30, 2019","21,090.0","20,946.7","21,497.0","20,675.0","0.46K","0.68%"
"Apr 29, 2019","20,946.7","21,081.9","21,500.0","20,459.1","0.45K","-0.64%"
"Apr 28, 2019","21,081.9","21,353.3","21,534.8","20,900.0","0.08K","-0.81%"
"Apr 27, 2019","21,253.0","20,810.2","21,799.0","20,614.1","0.24K","2.13%"
"Apr 26, 2019","20,810.2","21,489.9","21,799.0","20,200.0","0.59K","-2.76%"
"Apr 25, 2019","21,400.0","22,115.0","22,300.0","21,001.1","0.47K","-3.67%"
"Apr 24, 2019","22,215.0","22,258.0","22,570.0","21,789.4","0.54K","-0.19%"
"Apr 23, 2019","22,258.0","21,750.9","22,675.9","21,490.0","0.55K","2.33%"
"Apr 22, 2019","21,750.9","21,195.0","21,989.0","21,080.0","0.46K","3.15%"
"Apr 21, 2019","21,086.0","21,248.0","21,278.0","21,020.0","0.07K","-0.76%"
"Apr 20, 2019","21,248.0","21,015.1","21,279.7","21,015.1","0.05K","1.11%"
"Apr 19, 2019","21,015.1","21,123.0","21,260.0","20,871.0","0.11K","-0.51%"
